2024-04-22 23:12:49,072 - INFO - ***STARTING***
2024-04-22 23:14:29,044 - INFO - ***STARTING***
2024-04-22 23:14:30,770 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:15:40,755 - INFO - ***STARTING***
2024-04-22 23:15:42,286 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:33,288 - INFO - ***STARTING***
2024-04-22 23:19:35,438 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:40:34,439 - INFO - Iteration: 13900, PSNR: 28.171245574951172
2024-04-22 23:40:43,464 - INFO - Iteration: 14000, PSNR: 28.463533401489258
2024-04-22 23:40:52,395 - INFO - Iteration: 14100, PSNR: 27.77667999267578
2024-04-22 23:41:01,611 - INFO - Iteration: 14200, PSNR: 26.453567504882812
2024-04-22 23:41:10,239 - INFO - Iteration: 14300, PSNR: 28.345802307128906
2024-04-22 23:41:19,487 - INFO - Iteration: 14400, PSNR: 27.980802536010742
2024-04-22 23:41:28,650 - INFO - Iteration: 14500, PSNR: 28.716764450073242
2024-04-22 23:41:37,450 - INFO - Iteration: 14600, PSNR: 28.416698455810547
2024-04-22 23:41:46,367 - INFO - Iteration: 14700, PSNR: 28.52644157409668
2024-04-22 23:41:55,247 - INFO - Iteration: 14800, PSNR: 27.89084243774414
2024-04-22 23:42:04,015 - INFO - Iteration: 14900, PSNR: 28.67901611328125
2024-04-22 23:42:12,937 - INFO - Iteration: 15000, PSNR: 27.94926643371582
2024-04-22 23:42:21,791 - INFO - Iteration: 15100, PSNR: 28.2627010345459
2024-04-22 23:42:30,744 - INFO - Iteration: 15200, PSNR: 28.517169952392578
2024-04-22 23:42:39,883 - INFO - Iteration: 15300, PSNR: 28.30989646911621
2024-04-22 23:42:48,884 - INFO - Iteration: 15400, PSNR: 27.88468360900879
